pl_name,hostname,pl_letter,disc_year,discoverymethod,disc_facility,disc_locale,ra,dec,glon,glat,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmasse,pl_bmassprov,pl_radj,pl_rade,pl_dens,pl_eqt,pl_insol,pl_trandep,pl_trandur,pl_rvamp,st_teff,st_rad,st_mass,st_met,st_logg,st_lum,st_age,st_dens,st_vsin,st_spectype,sy_snum,sy_pnum,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,tran_flag,rv_flag,ttv_flag,ima_flag,pl_controv_flag
Kepler-1167 b,Kepler-1167,b,2016,Transit,Kepler,Space,298.3026595,47.6939654,81.68674,10.23657,1.00393373900,0.0175000000,0.000000,89.76000,0.01120000,3.57000000,M-R relationship,0.15255598,1.71000000,3.920000,1419.00,1039.6970,0.04911000,1.4562000,,4971.00,0.750000,0.790000,-0.0500,4.600000,-0.53589,4.2700,2.858170,,,1,1,820.90500000,16.0470000,13.6630000,15.9292000,1,0,0,0,0
Kepler-1740 b,Kepler-1740,b,2021,Transit,Kepler,Space,293.8736630,38.9224548,72.31602,8.87006,8.17240047500,0.0779000000,0.000000,82.80000,0.03470000,11.00000000,M-R relationship,0.29647782,3.32321414,1.650000,858.00,127.9500,0.08643000,3.9020000,,5705.00,0.905000,0.943000,-0.0600,4.499000,-0.07942,,0.114270,,,1,1,1061.77000000,15.4540000,13.6950000,15.2863000,1,0,0,0,0
Kepler-1581 b,Kepler-1581,b,2016,Transit,Kepler,Space,287.3713199,39.6036225,70.69427,13.69395,6.28385491000,0.0686500000,0.000000,89.49000,0.00137000,0.43700000,M-R relationship,0.07137122,0.80000000,4.690000,1108.00,470.8620,0.00357000,4.1240000,,6022.00,1.230000,1.120000,0.0700,4.310000,0.39085,4.1700,0.430000,,,1,1,493.17500000,12.4420000,11.0250000,12.3525000,1,0,0,0,0
Kepler-644 b,Kepler-644,b,2016,Transit,Kepler,Space,295.4757022,43.4931119,76.98011,9.95162,3.17391710300,0.0464100000,0.000000,78.65000,0.03170000,10.10000000,M-R relationship,0.28102418,3.15000000,1.780000,1655.00,2381.7700,0.03030000,3.5066000,,6747.00,1.810000,1.490000,0.0800,4.090000,0.71041,1.6200,0.290000,,,1,1,1318.05000000,14.0310000,12.5740000,13.9601000,1,0,0,0,0
Kepler-1752 b,Kepler-1752,b,2021,Transit,Kepler,Space,290.8541401,51.2227435,82.71749,16.13825,56.35850143000,0.2698000000,0.000000,88.46000,0.05900000,18.70000000,M-R relationship,0.40508631,4.54060463,1.100000,419.00,7.2900,0.25596000,6.9270000,,5446.00,0.821000,0.824000,-0.2000,4.525000,-0.39819,7.2000,0.228730,,,1,1,962.88800000,16.0249000,13.9990000,15.7960000,1,0,1,0,0
Kepler-280 c,Kepler-280,c,2014,Transit,Kepler,Space,291.3905325,42.1804735,74.40417,12.02527,4.80709100000,0.0560000000,0.000000,86.65000,0.01480000,4.70000000,M-R relationship,0.17900000,2.01000000,3.180000,1088.00,279.0850,0.04505000,0.9010000,,5744.00,0.886000,0.962000,0.1213,4.537000,-0.06437,5.6200,1.080000,,,1,2,780.36100000,14.3500000,12.8440000,14.4574000,1,0,0,0,0
Kepler-1208 b,Kepler-1208,b,2016,Transit,Kepler,Space,291.8812445,44.5557587,76.75288,12.73691,11.08507637000,0.0901000000,0.000000,88.44000,0.01890000,5.99000000,M-R relationship,0.20697654,2.32000000,2.640000,665.00,37.6640,0.07718000,1.7080000,,5001.00,0.760000,0.800000,-0.0300,4.590000,-0.55349,4.4700,19.938680,,,1,1,825.17600000,16.2560000,13.7880000,15.9464000,1,0,0,0,0
Kepler-263 c,Kepler-263,c,2014,Transit,Kepler,Space,292.4698022,37.5677941,70.58352,9.22104,47.33277300000,0.2420000000,0.000000,89.80000,0.02100000,6.66000000,M-R relationship,0.22000000,2.47000000,2.430000,386.00,5.9940,0.09755000,3.0690000,,5265.00,0.785000,0.793000,-0.0314,4.576000,-0.45614,2.2400,2.000000,,,1,2,754.74700000,15.4350000,13.5480000,15.4167000,1,0,0,0,0
Kepler-1101 b,Kepler-1101,b,2016,Transit,Kepler,Space,294.5693544,45.6711623,78.63822,11.53493,81.31510590000,0.3483000000,0.000000,89.99000,0.02100000,6.66000000,M-R relationship,0.22035864,2.47000000,2.430000,393.00,3.5770,0.07817000,5.7620000,,5614.00,0.910000,0.940000,-0.0400,4.500000,-0.35135,4.2700,3.758100,,,1,1,742.47300000,15.1560000,13.3140000,15.0958000,1,0,0,0,0
HD 168746 b,HD 168746,b,2002,Radial Velocity,La Silla Observatory,Ground,275.4573269,-11.9229757,18.96358,1.03031,6.40400000000,0.0700000000,0.110000,,0.27000000,85.81410000,Msini,0.99300000,11.10000000,0.345000,900.00,,,,28.60000,5570.00,1.090000,1.070000,-0.0800,4.390000,0.04139,8.0000,1.089734,1.0000,G5,1,1,41.56810000,7.9500000,6.2530000,7.7716900,0,1,0,0,0
